user,text
1277005642889416705,@kurmihostel @felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Jajaja es que el muchacho se enoja solo porque le pregunto .
1277005619887833091,@idaniel32 @MartinRatero @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Jajaja lo descubrieron al rojete gaaaaaaa
1277005609817247744,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Esos datos son falsos, maldito Vizcarra dictador 😠😠😠"
1277005562274865153,@CovidbotPeru @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Vaya esta interesante
1277005504624111617,"@Jairo82236809 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Si , pero segun la lista del MINSA , aun no , estamos aun septimos , lo se es dudoso . Los españoles mismos saben que tienen solo 148 mil ."
1277005375749922817,@peru21noticias Hoy me entere q el papa de una de mis mejores amigas esta con #Covid... Un gran señor! No hay quien lo atienda en el #HospitalMilitar mi amiga no sabe si come o no.... Que terrible noticia! Dice q en el hospital no hay suficientes enfermeros @Minsa_Peru @MindefPeru
1277005313108070404,@manuval68 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano ASI ES!!!!!!!!!!!!!!!!!!!! MALDITAS FUJUIRRAATAAAAAASSSS!!!!!!!!!!!!!!!! #FujimoristasEnemigosDelPeru!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1277005305730215938,@HeberNavar @felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Asi te gustan no? Jajaja
1277005295366164480,"@manuval68 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano No dije que fuera competencia , ni implicitamente , solo la ironia iba al modo como el minsa tiene unas cifras de España , que son 195 contagiados , y en las cifras de España misma , ellos dicen 148 mil . Eh ahi la ironia ."
1277005285157208066,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Desde la semana pasada Peru era el pais mas golpeado de Latinoamerica, por su Tasa de Mortalidad (muertes x millon habitantes), por encima de Brasil, pero hoy podemos decir que hay un empate tecnico con Chile, y seguro desde mañana Chile se convertira en el mas afectado de latin."
1277005052452966406,"@MayLevis15 @felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Lee los perfiles antes de estar diciendo aprofujitroll a cualquiera, el chico es de centroizquierda
PD:Tambien soy de centroizquierda para que te andes evitando decir estupideces"
1277005044123140096,"@Veronic01328918 @mijvalera @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Una pregunta. Si la minera era tan buena, porque no dono simplemente?
Acaso el padre no dono sin hacer tanto escandalo?"
1277004955270950912,"@MayLevis15 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Nada que ver diarrea con camiseta de mojon encima, yo no soy fujitroll ni lamebolas del gobierno como tu comprenderas brocoli"
1277004860806909954,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano #BENOTICIAS6punto0
#Peru reporte por regiones COVID-19 al 27 JUNIO 2020. https://t.co/41GI5p9pVD"
1277004810718531590,"De los casos que se conocen publicamente: Hace dos dias fallecio el profesor indigena Kinin, el Apu Santiago Manuin tambien esta con cuadro #COVID19 e igualmente el secretario general de @aidesep_org y @MinCulturaPe como si no existiera. @Minsa_Peru debe fortalecer su actuacion! https://t.co/wLzofFI0NU"
1277004653377597440,"@enrique_ers @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Creo que hoy si no me equivoco se hizo 4 mil pruebas moleculares aprox (?). Tu eres la voz para despejar dudas , muy buen aporte de usted con las datas , gracias ."
1277004603301736449,@OlgerCastroP96 @henrycandia @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano a esta hora esta trabajando creo xd
1277004599371669504,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano El numero de muertos crecio.
Estamos en la meseta hace dos semanas .Cuando miercoles bajaremos."
1277004594091040776,@cesargastonec @ThRosales @ilazo @Minsa_Peru @EsSaludPeru La Azitromicina pediatrica
1277004576009474048,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Para mayor informacion no olviden que tenemos una web: https://t.co/plJGkH8YC7 https://t.co/uwOqkfYcVf
